label2_id	text
你好，我已完成认证，怎么不能办理值机，点值机时为向又要求认证？	94
请问如何查询我的订票信息？	200
买票	366
如何打印机票	223
需要出租车发票	254
请问父母能帮11岁孩子在手机上办理国际航班的值机吗？	14
14岁的小孩子，没有身份证，怎么办机票？	106
有电话客服吗	40
为什么我帮别人值机提示请不要重复预约	347
手机选座位在哪里？	35
在不	274
行李事故索赔	101
你们客服电话多少	40
帮别人取消座位	132
你好，我没有定机票呀？	39
能查别人的购票记录吗？	109
怎么帮助他人办理值机	161
如何查询国际航班	200
我订完机票但是纵横没有显示？	180
我能通过此APP预订机票吗？	366
我要删除旧护照，以便添加新护照，该怎么办？	20
午餐	184
怎么预订国际航班	366
怎么查到在早的记录	27
没定机票咨询各屁呀？	186
人工服务又没有电话	40
先问一下怎么找不到订餐的窗口了？	184
预约值机什么时候成功	143
如何取消已值机航班	10
机票无法预订？	366
小孩子如何值机	14
取消值机后能重新选座吗	77
珠海金湾机场可以用电子登机牌吗？	49
得知飞机延误事可以晚到机场的？	163
怎么查看出港航班	200
有客服电话吗	40
失物招领	344
儿童怎么没办法值机	14
儿童怎么值机	14
怎么查询其他人位置	162
不支持值机	94
电子登机牌二维码从哪获取	70
在线客服	40
为啥直接显示非本人行程无法直接	146
行程添加	180
怎么升舱	221
飞机座位靠窗	2
请问乘机凭证为啥邮件不发了呀？	5
一般出什么时候能出电子登机牌	70
查询有没有订好机票	278
已经在官网办了值机，能在航旅纵横上下载二维码登机牌吗？	70
帮别人值机	161
为啥有时不能值机？	94
如何选座位	35
我想取消预留座位	337
您好麻烦问一下，怎么添加好友的信息	287
预约值机为什么最多只能选三个？	154
退票怎么退	238
可以为不是同行的人办理值机吗	157
如何购买航班意外险或者航班延误险	269
能不能解决问题？？？	186
查机票价钱	248
身份证认证了怎么删除？	20
我的座位被修改了？？？	330
有些行程没有显示	180
为何6号机票已出，没短信通知呢	296
同行人跟我是同舱位同行班，为什么选不了座位呢？	94
咸阳机场能不能用电子登机牌	49
国航飞往日本的航班怎么值机	35
您好，我的身份认证一直做不了	346
如何取消朋友的值机？	132
新证件无法添加，显示名称不一致	370
如何获取电子客票号	298
行程单怎么在这个软件上打印	183
Pro版本如何下载	166
为什么手机值机一直显示未找到行程	158
怎么为同伴值机	157
需要托运行李的能手机值机吗	155
有没有人工服务啊！	40
怎么不可以呀选座位	94
出现非本人行程是什么意思	39
加了qq	186
机场雷达怎么开通，开通需要付费么	58
有电话可以打吗客服	40
保护状态	251
你好！我是吃素的，请麻烦给我订一份素食！	257
婴儿乘机	23
托运行李免费额度	19
添加行程	180
为什么我没有全日空的行程	214
改身份证怎么改	334
我昨天取消了之前选好的飞机座位。今天还可以重新再选一次座位吗？	77
婴儿票	23
行李托运，随身带上飞机有何要求？	19
我在购买机票的同时没有购买意外险	366
没有历史乘坐航班记录	180
外航的行程不能添加吗？	284
差额发票可以补吗？	183
为什么我的行程看不到	180
问下儿童的值机怎么弄？	14
请问橡皮泥可以带上飞机吗	127
如何调整已选座位	316
转人工	40
可以提前办理机票吗	160
可乐可以托运吗	194
你们客服电话多少，我找你们有个事情	40
一年前的行程记录查询	27
紧急出口座位怎么才能手机选座	114
请问T3机场里面是否有吸烟室	369
显示身份证已被用	13
在？	274
双流机场电话	282
怎么注销？	250
手机怎么办不了值机？	94
航班拥挤度	249
历史关注的航班信息没有了	180
胡文林的机票怎么取消值机	10
可以查其他人的航班吗	109
你好，我的护照换发以后要登记新的护照号	334
机场能办临时身份证吗	164
为什么我不能值机	94
怎么手机上我选不了座位	94
你好，购买机票是用台湾通行证，办理手机值机时只有护照和港澳通行证选项，请问要如何选择填写证件？	62
忘记航班，能查一下吗	200
无身份证 乘机	62
为什么我选座时显示非本人航班？	94
提前多久到	160
因飞机延误我要退票怎么解决	238
如何帮我领登机牌	223
我的机票CZ8129在南航柜台不能打印行程单，怎么回事？报销用，在哪儿打印？	183
HU7825明天的航班取消了吗	124
改预约值机	316
不能添加同行人值机	268
国际航空的为啥没有显示	214
儿童办理值机显示失败	14
怎么电话联系你们	40
怎么认证港澳通行证	243
太早了 只记得具体日期和时间可以吗 没有客票订单或者照片了	180
请问东方航空国际航班不能为同行人选座？	94
证件格式错误是什么情况	245
为他人值机	161
为什么不能预定接送机了？	205
有客服人工电话吗	40
成都双流国际机场直飞普吉岛可以网上值机吗	35
无法添加行程	284
航班不能值机	94
航旅客服电话	40
买机票	366
认证信息不是本人	13
有行李的可以网上选座吗	155
固态硬盘可以托运吗	194
如果取消值机 会不会影响上飞机	339
70岁以上可以购票吗	100
为什么这个软件不能给别人值机了呢	94
HU7438有餐吗？	184
你好，如何取消值机？	10
认证问题，另一个手机注册，这个手机要登录，不行。另一个已退出，还是不行。	346
Hi	274
国际航班最多可以提前多久办理托运	160
怎么买票	366
如何打印乘机凭证	5
可携带和不可携带规定	69
输入验证码说是错误，然后重新获得验证码又说号码已经使用？是为什么呢？	261
软件的飞行模式	66
购票凭证	366
为什么有些机票搜不到了？	180
你可以帮我值机吗？	35
我买的国际航班为什么航旅纵横无法显示	214
删除联系人	193
给我办理一下取消值机	10
请问有电话客服吗？号码是多少？	40
出行的是两个人，怎么输入第二个人的信息，再进行选座啊？	154
上个月的记录没有？	180
打电话给我！18906015066	40
值机取消失败	44
请问在航旅纵横APP 里怎么添加好友在线选座	287
怎么为其他人选座	161
没有登机牌，需要保险	269
可以购买延误险吗	269
选座功能在哪	35
儿童机票怎么取	286
如何帮别人取消值机	132
小孩不能选座位吗	14
贵阳机场派出所电话	282
怎么买机票	366
转机时间和到达时间不少于多少小时	160
24日CA169查看手机值机为什么总显示连接超时，不能手机值机吗	63
潜加证件后，将要出行的计划为什么显示不了？	180
我要换位置	316
国外航班没显示的吗？	214
小孩子不能直机吗	14
靠窗	2
发票怎么开	183
中途要转机的是否需要提取行李	122
不可以买票吗？	366
怎么查看我的历史行程	200
输入身份证能查航班吗	109
为什么到现在都没有显示行程	180
可以修改乘机人吗	24
怎样查询选好的座位	162
我给同事选座位，手机号码输错怎样做更正	285
帮忙查询一下预定座位号	54
如何删除已认证证件	20
手机上已经值机，直接去安检？	95
值完机，需要换座位	316
为什么查询到上限就查询不了了	244
我要取消值机	10
春秋航班无法加入	284
同行人中无法添加香港居民	268
如何代他人选国际航班的座位	161
带锁的座位是什么意思？	323
您好 我没定过机票为什么还会提醒我办理值机呢	39
我想办值机选位置时，怎么能在加一人	45
预留座位总被调换	330
取消预留座位	337
你好，我川航会员更换了手机号，那么在航旅纵横APP上查询卡片信息的时候就显示我手机号无效，这个怎么办？	285
为什么我的行程单还没打印出来	183
如何升舱	221
出租车发票	254
请问6月6日Dz6204航班，何时开始网上值机	3
请问旅游团一起买的机票个人查询不了	200
我不会定飞机票咋办	366
国际机票验真	74
婴儿车托运	194
水果可以托运嘛？	194
重庆临时身份证	164
没有和我一起同行 可以帮忙选座位吗	161
改签	238
护照乘坐飞机	62
怎样买票	366
登机规定	61
儿童乘机需要	23
为什么不能买机票	366
你们电话多少	40
机票丢失怎么补办	202
什么是常客卡	78
手机要关机么	189
注销账号	250
开放选座预约选座没有自动办理	3
我本人操作提示非本人无法值机，	94
已经注册，忘记密码	239
航班晚点凭证	292
在线值机后如何办理登机手续	35
接送机发票	254
带肝素针剂托运要医生证明是吗	194
临时登机证明	164
我的航旅纵横上怎么没有收到未来行程	176
口令忘了，在哪里可以看到	226
怎么投诉	186
怎么添加亲属行程	180
国际间的航班不能显示？	214
如何添加其他乘客的行程呢	109
修改不了证件	334
机票验真	74
我已经选好飞机座位，小孩子的没添加然后该怎么选	14
您好 我想取消手机值机	10
我乘坐的俄罗斯航空 为什么不显示	214
身份证丢了，明天能上飞机吗	164
怎么看挨着窗户	2
没有改退，显示非本人行程	39
请问行李超重怎么办？	211
怎样购票	366
东方航空可以儿童选座吗～	14
有人工客服嘛	40
现在不能手机值机呢？	3
从哪里看飞行多高	322
我的证件之前在另一个手机上登录过，我现在换手机了，怎么操作？一直显示我不能认证	346
在别的地方买票能在这上面看到吗	200
网上值机了，如何取消机票	238
手机值机后，为什么一直不显示电子登机牌	70
接送机服务	205
大连周水子机场临时身份证办理	164
退票联系那里	238
丽江三义机场出场航班怎么查询	200
取消行程	238
机票发票在哪里打	183
喷雾能托运么？	194
请帮我取消值机	10
别人帮忙买的机票可以查到？	200
请问我值机要值多人的，怎么弄	157
已申请加群，请通过	84
如何取消个人乘机凭证的邮件接受功能？	72
更改语言	29
怎么查自己的身份证是否订了机票	109
福州到宜昌，宜昌中转到曹家堡要提取托运行李吗	122
常用联系人页在哪里找	312
航班因天气更改到第二天，航班公司是否会安排当晚住宿？	123
黑头铲可以去带上飞机吗	122
为什么值机一直显示网络超时	63
怎么添加其他证件	243
幼儿有身份证还需要出生证明登机吗？	106
临时登机这名	164
电子行程单	273
国际航空行李托运多少斤免费	19
请问西部航空客服电话多少？	204
如何值机国际航空	35
游戏机可以托运吗	194
订单在哪里可以看？	200
值机是什么	325
去年买的票没使用，可以退吗？	238
在机票搜索上，怎样买票	366
我是为家人办理的值机	157
为什么取消不了值机	44
有人吗	274
我们需要电子机票行程单	183
请问如何帮孩子一起选座？四川航空的机票，成都飞温哥华	14
同行三人网上选坐，名字后面没有+号	154
在吧	274
订票在哪页面	366
别人绑定我身份证	13
可以查我以前的航班吗	200
预约座位影不影响改签退票	238
飞行模式怎么开	66
保险	269
英文名与中文名不匹配	365
工具箱的手机选座在哪里	35
用手机号登陆，显示身份证已被其他账号登陆	91
值机后可以改座吗	316
我要注销此账号	250
值机取消不了怎么办	44
为什么我的国际航班行程没有显示	214
酒曲可以托运吗？	194
没有买机票，为何显示登机提醒！？	39
如何订票	366
你好！请问：我是7月17日的机票航旅纵横已显示已值机是什么意思？	325
客服电话可以给我一个吗	40
我如何帮朋友值机	157
为什么我不能办理值机？	94
亲 我刚注册完为什么一条飞行信息都没有呢	167
机场贵宾厅	308
如何查别人帮定的国际机票	109
怎么查询自己的返程机票	200
不小心删除了行程	303
托运能带多少液体	194
临时被通知航班取消，请问如何改签	238
我跟你们反馈了半天有用吗？	186
最晚什么时候办托运	160
有没有航空延误险	269
垃圾	186
如何选位？	35
13:05从太原飞往珠海的航班怎么没不开放选座位呢	3
不准携带物品	69
儿童座位怎么值机	14
机票可不可以退	238
行李托运能托运酒吗	194
我的航班取消了，我临时升舱的钱什么时间退还	76
我已值机，行程里怎么不显示座位号呢	162
我的为啥认证不了呢	346
我昨天在你们这儿订的接机服务，结果首汽约车司机没有来接我，害我动车晚点在杭州多住了一晚，但司机钱已经收了，联系首汽约车客服，说要找你们处理，这事该怎么办	97
值机取消不了	44
你好，请问我为什么不能值机？	94
收不到验证码	261
飞机群怎么进啊	301
为什么我不能取消座位	44
靠窗位置	2
预约值机连接超时	63
为什么无法行程验真	219
国际航班手机值机	35
没带身份证怎么办	164
行李托运多少斤是免费的	19
国际航班可以选座吗	142
怎么把小孩选座位加在大人上	14
为什么前十排选不到	114
飞机延误了2小时，可以晚点去安检吗？	160
我的报销凭证何时邮寄回来	183
修改认证	334
用我的手机为别人订机票不能值机吗	157
我也没有购票凭证呀，能告诉我不显示行程的原因吗？？？？	180
发票什么时候寄过来给我	183
电动剃须刀必须托运吗	127
一个二维码可以几个人一起过嘛	302
我的孩子怎么一起手机值机？	14
调换座位	316
同事帮忙订的航班，能查到航班号吗	200
可以添加其他人的证件吗？	8
好的👌	340
你好可以查询其他人的机票么？	109
乘机证件有哪些	62
为什么我办理不了手机值机了？	94
之前的行程还可以导入吗	180
为什么不能选座位呀？谢谢	94
实时选座如何添加同行人	45
我在手机里为家人买的飞机票怎样可以帮忙选座位呀？	157
值机如何取消	10
从哪了选座位	35
可以提前办理机票和登机牌那些吗	160
护照上的行程为何没有提取出来	180
行程单如何打印	183
你好 请问值机了 就不要拿票登机了嘛	118
行里超重怎么办	211
手机值机如何添加同行人	45
人工客服？	40
为什么无法预约值机了	148
请问有人工服务电话吗？	40
你好我的日本机票怎么不显示	214
行程单补办	183
如何添加常用联系人	368
你好我的号可以帮别人办理登机牌吗？	126
护照号添加不上	346
为什么值机不成功	94
旅豆干什么用？	26
为什么值机取消不了？	44
临时身份证明	164
航旅登机牌在哪里？	70
如何查看发票快递信息	183
飞行轨迹怎么同步热力图	293
怎么订票？	366
能添加几个同行人？	154
飞机突然变更到达站了。本来浦东，现在虹桥。我买的联航一套票，中间就间隔两小时，时间太紧了。想退票，请问如何申请退票可以获得最大限度的退款。	238
两个人同时预选座位，我怎么看同行人是否已值机？	162
手机值机提前多久	3
修改证件信息	334
我预定接机，现在航班取消，如何处理	134
有人在吗	274
你好，我手机想把今天的机票取消，怎么取消不了了呢	238
我今天手机值机，结果显示，我出现了行程的保护，但是我并没有开启，不知道是为什么不能值机。	3
小朋友的值机无法取消是怎么回事	44
手机电池可以托运嘛。	194
接机首汽约车开发票	254
怎么查我的机票	200
怎么查到我定的国际机票	200
值机，手机验证码一直收不到	261
无法取消座位	44
为什么没有查到可预约值机的行程	46
喷雾可以托运吗	194
登机牌最早可以提前多久办理?	160
证件已经被其他账号认证了	13
我这有电子票了还要取票嘛	118
不能为本人以为的三个人选座吗？	154
为什么我从巴厘岛回来的行程没有显示	214
国航也不行	186
怎么联系自己乘坐的航空公司	204
我改名字了	271
添加行程要审核多久	210
国际航班托运规定	69
我要手机值机说我自己开启了行程保护无法查看行程	251
客服热线	40
电子登机牌在哪里查看	70
另外原来登记的护照名字英文写错了	365
值机取不了	94
证件添加不了	370
我要退票	238
选座位看不到飞机翅膀	2
你好，如何改签	238
我的神州专车发票怎么开？	254
同行人添加？	45
航班保护不能在线值机	251
购买机票的身份证过期	362
想查一下这个身份证啥时候起飞	329
行程缺失	180
可不可以取消值机，重新办理	77
国内行程会自动导入嘛	180
接机行程单	183
旅客在机场临时申请特殊餐食要提前多长时间	184
怎么查看自己买的是不是里程票	200
如何预约选座	236
电子发票	183
来回航班怎么值机？	35
山东航空联系电话	204
怎么样取消值机	10
亲，可以值机，但是为啥走的座位还是选不了	94
你好，怎么样打印行程单	183
你好。为什么我新买的航班信息在行程里面不显示。过了好几天了。公司给买的票，我这没有购票码，不能手动添加。请问有别的办法吗？	180
第一次坐飞机可以在APP 上选座位吗？	35
你好，这个发票是在哪里申请？	183
小孩可以选择座位号吗？	14
你好，你们这系统为何没有显示国际航班预订信息？	214
我儿童值机取消了，为什么大人还不行	44
下面的机票为啥没显示	180
常用联系人在哪	312
我通过携程买的机票这里都有显示，但是我通过旅游团的机票为什么这里没有显示	180
440513199710024026 陈悦燕 名字输错	271
已经选好座的同行人，如何为其办理电子登机牌	126
怎么关闭行程保护	251
没有解决问题	186
网上值机选座几点可以	3
怎么看不到机票和座位？	180
但是我找不到那个代理机票的点也没有时间到那个机场怎么搞啊？	329
我的儿童已经取消值机了，为什么我的还是不能取消	44
我换了机场雷达卷，但找不到可以打开的地方	58
怎么在手机上选座	35
取消值机不成功，收不到短信验证怎么办	44
我自己可以选坐，为何帮朋友选择，就这个提示	157
如何订餐？	184
怎样打印纸质登机牌	302
怎么订机票	366
如何取托运的行李	159
托运行李体积重量说明	19
没有身份证怎么办	164
发票多久能到	183
我今天的行程怎么看不见	180
PRO版不显示2011～2015.01的行程，有办法解决么？	27
国际航班可以值机吗	142
我选完的座位被占用了	330
我不想让你们办理值机	10
为什么我没有买机票，却提示我今晚有航班	39
牙膏可以托运吗	194
你好，回答我的问题。请你	186
客服电话多少	40
以前的航班没有记录	27
电脑可以托运么	194
户口本可以登机吗	62
原始密码	239
飞机延误吗？	124
我提的问题为什么不回答呢？	186
怎么改签或者退票	238
预约的值机被强制解锁换成别人了	323
谢谢！我试试	340
飞机延误值机时间会延后么	160
已经办理值机，但是二维码登机牌在哪里	70
怎样选座？	35
手机值机的取消不了	44
自己买行李额多少钱	211
变更姓名	271
上周我刚刚出差去广州，我需要获取从三亚到广州再从广州回三亚的行程单，如何获得	183
怎么选择飞机座位？	35
婴儿坐飞机	23
航班为什么会取消	329
我选择座位后再次登录不显示有座位号	162
购买行李额	211
帮取消值机	10
不支持婴儿票的在哪里购买	23
在哪里可以自动选座	337
工具箱手机选座卡片在哪	35
请问在这个APP上可以购票吗	366
我的乘机发票什么时候能收到？	183
国际航班免费托运行李重量	19
你好，问一下，我之前注册的账号没用了，忘记了，怎么办	243
我无法取消值机	44
怎么取消他人值机	132
您好 取消值机后 可以重新值机吗	77
别人代买的机票，可以自己付费改签么	238
你好什么时候可以选座位呀	3
为什么不能预约值机	148
手机值机以后，还可以打印登机牌吗	95
上海航空可以提前选座吗	236
客服电话是多少号	40
接送机发票问题	254
明天从马德里到西安的Mu264为什么还没法值机？	3
武汉到拉萨的机票，可以在航旅纵横中买吗？	329
行程单怎么打印	183
你好，现在查看不到航班动态了吗？	329
为什么手机值机只能值3个人？	154
为什么明天早上的航班现在还无法值机	94
南京禄口国际机场失物招领	344
我是三点半的机票，现在到机场了还没有取票，还要行李托运，时间来得及那	160
还是取消不了值机啊	44
您好，为什么认证总是失败啊	346
预留座是什么意思？	337
值机预约记录	54
请问空客320的机翼在哪里	2
婴儿登记需要的证件？	106
如何购票	366
托运的行李箱 有体积要求吗	19
可以托运白酒吗？	194
原来的行程怎么没有统计呢	180
手动添加了行程。还是不显示？	153
身份验证没有行程	180
只需要修改认证的身份证名字	271
有人工客服吗	40
国际航班可以手机值机吗	142
我的座位免费升为公务舱，发票是否显示为经济舱？	183
我给小孩订票，小孩的行程怎么看？	109
行程不足	180
能不能预约2个人的座位	154
认证身份证和名字有误怎么办	243
常用联系人页入口在哪里	312
出票失败什么时候退钱	238
你好，在为别人手机值机时提示未找到两天内可办理行程是什么原因	158
MU8889明天浦东飞美国西雅图的航班有网上值机办理么？	142
SC8050航班什么时候可以值机	160
选座在哪个页面	35
提前几天选座	3
