label_2	label_1
无法添加护照	认证
无法认证	认证
身份证带有x如何认证	认证
身份证消磁	认证
账号在其他客户端登录	认证
账户信息-如何修改密码	认证
账户信息-如何修改手机号	认证
账户信息-登录名无法修改	认证
账户信息-获取不到验证码	认证
添加新证件格式错误	认证
登录-忘记密码	认证
支付宝登录失败	认证
eid认证	认证
乘机证件相关_成年人	乘机证件
乘机证件相关_临时身份证登机	乘机证件
乘机证件相关_身份证过期	乘机证件
乘机证件相关_未成年人	乘机证件
临时乘机证明办理	乘机证件
接送机---订单获取失败	接送机
接送机发票没有收到	接送机
接送机费用	接送机
接送机服务取消流程	接送机
接送机服务准时吗	接送机
接送机---如何申请接送机发票	接送机
接送机---如何退回余额	接送机
接送机---如何预订接送机服务	接送机
接送机提现	接送机
如何查看接送机余额	接送机
未接机如何退款	接送机
什么是升舱	升舱
升舱为什么退款	升舱
升舱如何退款	升舱
升舱没有通知	升舱
如何办理升舱	升舱
如何为同行人升舱	升舱
如何取消升舱	升舱
如何获取升舱发票	升舱
航司电话	电话咨询
通用---咨询客服电话	电话咨询
机场电话	电话咨询
中转时间	航班中转
中转是否要重新安检	航班中转
中转机场是否包住宿	航班中转
中转路线	航班中转
航班中转联程	航班中转
常客卡---非本人常客卡	常客卡
常客卡---号码	常客卡
常客卡卡号错误	常客卡
常客卡---如何删除	常客卡
常客卡---提示密码错误，怎么找回密码	常客卡
常客卡添加步骤	常客卡
常客卡添加失败---其他	常客卡
什么是常客卡	常客卡
如何查询常客卡	常客卡
如何办理常客卡	常客卡
如何修改常客卡	常客卡
机票名字错误	机票
机票包括燃油费吗	机票
机票---票价、余票提醒	机票
机票是否联程	机票
机票验真流程	机票
机票---预订机票	机票
如何查询往返机票	机票
只能查国内机票吗	机票
如何查询机票订单	机票
航旅何时可以订票	机票
查询行李状态	物品携带托运
查询航班行李限额	物品携带托运
行李超重	物品携带托运
行李托运物品要求	物品携带托运
行李托运限额	物品携带托运
行李携带限额	物品携带托运
行李携带须知	物品携带托运
如何查询行李额	物品携带托运
手机值机托运问题	物品携带托运
托运可以网上办理吗	物品携带托运
托运可以自助值机吗	物品携带托运
托运流程	物品携带托运
携带物品要求	物品携带托运
携带行李可以网上办理值机吗	物品携带托运
违禁品被没收	物品携带托运
登机牌---电子登机牌使用截止时间？	登机牌
登机牌---如何打印登机牌？	登机牌
登机牌---有行李的可以直接使用电子登机牌（二维码）吗?	登机牌
电子登机牌不能用	登机牌
电子登机牌打印时间	登机牌
电子登机牌没有生成按钮	登机牌
电子登机牌与纸质登机牌	登机牌
儿童如何用电子登机牌	登机牌
行程是否支持电子登机牌	登机牌
如何分享电子登机牌	登机牌
如何保存登机牌到iOS wallet（passbook）或安卓“桌面快捷方式”？	登机牌
如何获取别人的电子登机牌	登机牌
如何获取电子登机牌	登机牌
如何取消登机牌邮件通知	登机牌
如何删除电子登机牌	登机牌
什么是登机牌	登机牌
如何补打登机牌	登机牌
机场是否支持电子登机牌	登机牌
歧义-如何获取登机牌	登机牌
手机值机是否还需打印登机牌	登机牌
补发乘机证明	乘机证明
【其他】怎么取消自动发送乘机证明	乘机证明
【其他】怎么获得乘机证明	乘机证明
如何修改乘机凭证邮箱	乘机证明
乘机证明错误	乘机证明
行程-索要发票、行程单等	乘机证明
如何查看电子行程单	乘机证明
pro版下载	其他
pro版和普通版的区别	其他
QQ群进不去	其他
【客票信息】客票监控提醒是什么	其他
什么是open状态	其他
什么是共享航班	其他
什么是团队票	其他
什么是最新进港时间	其他
军人、特殊身份旅客	其他
出入境办理-边防	其他
出票确认单如何补发	其他
分享-如何分享航旅纵横APP给其他人	其他
发表点评---写点评时，打分问题	其他
哪里有增值服务	其他
天气查询	其他
如何使用私信功能	其他
如何兑换积分	其他
如何删掉重复预约记录	其他
如何删除反馈	其他
如何删除查询历史	其他
如何匿名评级	其他
如何升级	其他
如何取消向亲友分享的航班信息	其他
如何快速安检	其他
如何更改注册地	其他
如何更改语言	其他
如何看海拔高度	其他
如何统计里程	其他
如何获取电子客票号	其他
如何获取行程提取特权码	其他
如何购买快速通道	其他
如何进入飞行模式	其他
婴儿餐	其他
安检流程	其他
客票信息校验失败	其他
客票搜索-超过查询次数	其他
延误、取消	其他
延误退款	其他
延误险	其他
微信	其他
忘记口令	其他
怎么开通VIP	其他
提交技术尽快排除、关于系统bug问题	其他
改签时间	其他
是否可以开飞行模式	其他
是否自动积累里程	其他
机场--如何查看机场雷达、交通、大屏、地图	其他
查询值机柜台	其他
查询次数上限	其他
照片在哪里	其他
电子客票号错误	其他
登机、过检时间	其他
离线地图下载	其他
离线模式在哪	其他
积分如何换机票	其他
航旅限制访问	其他
航班群	其他
航站楼查询	其他
获取延误证明	其他
行李中转	其他
行李转盘	其他
订餐	其他
设置收件地址	其他
退票、改签	其他
里程兑换机票	其他
里程累计	其他
错误代码	其他
飞机有wifi吗	其他
飞机上是否能连接蓝牙	其他
电话卡	其他
出入境办理-检疫	其他
出入境办理-海关	其他
清真餐素餐	其他
提示语	提示语
打招呼	打招呼
结束语	结束语
抱怨	抱怨
机场商业	机场服务
机场地铁	机场服务
机场大巴	机场服务
机场有吸烟区吗	机场服务
租车	机场服务
失物招领	机场服务
机场附近酒店预订	机场服务
停车服务	机场服务
摆渡车收费标准	机场服务
贵宾厅	机场服务
行李寄存	机场服务
行李打包服务	机场服务
转机流程	机场服务
轮椅、病人所需设备	机场服务
飞机上物品遗失	机场服务
飞机上可以充电吗	机场服务
有氧舱问题	机场服务
飞机上能否使用手机	机场服务
老人乘机	机场服务
老人陪伴服务	机场服务
婴儿乘机	机场服务
孕妇乘机	机场服务
残疾人、病人乘机	机场服务
机场中物品遗失	机场服务
航司投诉	机场服务
机场投诉	机场服务
wifi租赁	机场服务
儿童摇篮	机场服务
机场wifi	机场服务
快递	机场服务
退税	机场服务
机场过夜问题	机场服务
拿错行李	机场服务
