label	text_a
79	选座位后，能办理托运吗？
33	衮
49	几年的旅行信息都没有了
24	你好
3	航行记录
82	如何补打登机牌
56	我是在注册航旅纵横之前买的机票、为什么注册完之后机票没有显示呢
3	值机
3	怎么解决
123	如何升级pro
3	你会不会看问题
13	怎么样选座位？
3	行程显示出错
3	旅豆中心在哪里？
3	什么情况
7	看不到选座这一项就是还没开放选座吧
111	你好，我们是川航，刚刚给孩子办理了手机值机，孩子的登机牌是不是只能到柜台去打印，不能用自助机器打印啊？
57	联航随身携带背包收费吗？
14	随身携带香水有限制吗？
13	如何手机选座
11	儿童票无法选座？
52	手机可以开飞行模式吗
5	为什么该航班不支持手机选座呢
3	怎么找人工？
166	我改名字了
3	截屏
55	厦门航空的客服电话
139	我所在的座位已被占用或锁定
3	首都机场有几个航站楼
142	飞机上手机要不要关机？
148	电子行程单在哪里查到
65	有预留座位是否需要重新选座
13	我怎样选座位
3	具体
23	怎么样取消值机
25	这个不是本人的证件
3	逾重行李
69	可以用身份证查订单吗？
74	台湾通行证认证失败
24	晚上好
2	如何购票？
3	你们的信息有误
1	我换航班座位
14	化妆品能带多少上飞机
59	海航的行李限制是多少公斤？
6	人工服务
210	怎么查询以往的飞行里程
74	你好 证件无法认证
23	值机了怎么取消
96	帮助别人手机值机，现在如何取消？
27	口令忘了，在哪里可以看到
14	电饭煲能带上飞机吗
117	失物招领
3	我是国行
3	支付宝认证微信认证身份证认证有什么区别
47	你好，春秋航空怎么不显示
20	你好 我上个月有个15号的飞行记录 南方航空的
24	你好
49	为什么我的国际航班行程没有显示
17	行程单要如何获取？
11	儿童为何不能值机
6	人工客服？
201	孕妇人工安检
18	开延误证明
3	1.60958E+12
3	2008年行程
3	为何取消失败
3	什么意思
15	手机号丢了
32	是否值机成功
3	认证信息有误
14	可以带上飞机的液体是多少
3	计算机离港系统控制
182	我的钱包在哪里
143	已经注册，忘记密码
12	如何帮别人值机
14	飞机能带海鲜吗
3	儿童免费吗
15	想知道以前的行程 但是手机号换了
3	充电宝
23	我要取消值机怎么取消
3	工具箱在app哪个位置
3	手机验证
14	洗面奶可以带上飞机吗
14	防晒喷雾可以带嘛
92	证件格式错误
11	为什么儿童不能办理值机？
60	为什么现在预约选座进不去？
12	我可以为家人办值机登记？查询家人的电子客票号吧
14	家乡味肉制品能带吗？
14	可以带水果上飞机么
49	我今年初去马尔代夫旅游的行程为什么没有提取出来？
60	预约值机
49	去国外的行程没有
179	open票是啥意思
30	联程行程查询
51	托运行李最迟需提前多久
3	我们一行人，有的人可以操作，我们操作不了啊
184	帮我看看16号17:35从福州-南宁的航班显示预警是什么预警呢
4	80岁老人可以乘机吗
6	我要人工客服，
17	你们这个可以打发票吗
3	清凉油
3	人工
3	为何一直登录不了的
3	电子票号只有十一位
23	过了值机时间取消值机
7	你好，我是明天中午十二点飞机，请问网上选座几点开始
31	请问，从美国回中国，托运2件行李的重量是多少？谢谢您
3	人工
51	提前多久到
3	航旅纵横是我一直都使用的出行必备的App很好👍！可是这次改版后字体太小了看不清楚，还找不到改大字的按钮，你们能不能改进一下新版的大字体呢？
69	输入身份证能查航班吗
28	我要取消选座，取消不了
28	我取消不了值机
30	我想查一下2018年12月8日我乘坐的航班
64	安检托运程序
3	我想问下
5	不支持值机
14	蒸汽眼罩可以带上飞机吗
30	查询坐过的航班
49	我有一个2019年7月16日北京到韩国金浦的行程为什么不显示那
6	人工客服
28	取消值机失败
56	怎么我有一个7月6号的行程没显示呢
14	飞机能不能带口服液
3	想了解加入行程
102	电子机票在哪里
3	有一张不是我定的机票
3	麻烦您？
3	航班时间变更
3	跟携程客服人工也确认过已经取消
3	那每次值机都要更换手机号?
125	儿童乘机
3	鲜花
3	接人举牌
2	可以买机票的吗
3	怎样加入微信群
3	ELD开通失败
150	我想关联我的港澳通行证，为什么老是说我的中英文名字不匹配
60	怎样提前选择座位号
30	儿童票在哪里查行程
13	如何办理值机，未找到
3	请批准
64	第一次坐飞机不懂怎么办
209	怎么订往返机票
6	人工客服
169	添加成功的航线没有展示
3	证件错误
64	网上值机后如何登机
41	7月11号去三亚的厦航的机票价格是多少？
3	操作完成不了
51	托运和办理登机牌需要提前多久
132	预定接送机
3	值机信息错误
5	不能值机
3	我的个人主页设置了为嘛没通过
12	bie别人帮我买的机票，我怎么选座
3	托运行李箱
56	一年半前去澳大利亚的航程可以添加吗
128	能改座位么
70	乘机证明
14	飞机上能带零食吗
3	不回复呀也
3	还是无法添加
37	东方航空航班可以在航旅纵横上值机吗
3	人工
3	我值机为什么显示不是我本人的形成
3	证件信息错误如何处理
2	我可以直接到机场买机票吗
3	你发个链接给我，我好下载
178	圆通快递，长春市高新技术开发区三佳新村B栋109单元13514413309朱立春
145	302422066找不到群
13	怎么选择飞机座位？
3	如何提前申请
80	可携带和不可携带规定
3	20村可以吗
14	国内航班可以带小型植物吗？多肉？
58	还需要到窗口办理登机牌吗
6	有电话咨询吗
40	手机值机后还需要打印登机牌吗？
3	怎么添加
3	充电宝
3	证件校检失败
12	能为别人选座吗
3	我输了大通证号码，报错信息号码不对
3	没结果
11	小朋友怎么直机
3	酒
3	你真美
3	延误一小时
24	你好
3	需要关机吗
13	在航旅纵横上办理值机
56	太早了 只记得具体日期和时间可以吗 没有客票订单或者照片了
31	航班免费托运行李多少斤
3	请回答，谢谢
145	回复太慢。QQ群是加不进去。
51	国际航班多久停止托运行李？
3	美国出入境常识
24	你好
42	有快捷登机牌可以不永身份证吗
24	你好
25	证件被占用
2	怎么在航旅纵横上订票
3	人工
56	国内行程会自动导入嘛
114	你还，买飞机票时已经预定了座位，那在航旅纵横上就不用在选座位了吗
23	～有一张机票，张国柱的明天飞往长沙的11:40停飞了，要求取消选座
57	南苑机场行李有什么要求
28	取消不了值机
85	多久能彻底注销
5	为什么我不能选座位？
6	你好，可以打人工客服吗？
8	你好 我要删除认证证件信息
131	第一航段的飞机延误，第二段的飞机怎么办？
3	管理员不加
3	在这个软件里面怎么看
3	这就是我的
3	认证证件格式
6	转人工
30	请问在哪里可以查我的待出行机票
126	添加行程没反应
116	支持电子登机牌的城市
61	常用联系人在哪删除
14	飞机上能携带的液体数量
3	首页行程哪里去了
14	电池显示2.0Ah，可以上飞机吗
14	护肤品可以带吗
56	我在前两天就购票了。但是航旅纵横显示没有
183	我竞猜赢了旅豆怎么没到帐
5	没法选座位
3	工具箱按钮在哪里？
69	如何帮别人查询航班行程
3	选座消息提醒
3	加入我的朋友
16	咸阳机场+临时身份证办理
6	转人工
3	人工
14	请问，吉利手动剃须刀（多刀头，可以换刀头的那种），可以随身带上飞机吗
10	川航机会升舱在什么位置操作
3	都操作了就取消不了
7	网上值机截止时间
33	一直不回复
3	人工
3	能赔吗
14	你好，请问飞机上可以带多少葡萄酒？
13	如何办理值机
49	eID要认证才能查询机票订单吗
79	有行李的可以网上值机吗
46	常用联系人在哪里
3	能查询我老婆的登机纪录吗
1	退票手续费
109	我的账户绑定错了，怎么修改
49	为什么没有显示国际航班？
17	行程单补办
90	我换了机场雷达卷，但找不到可以打开的地方
14	医用拐杖能上飞机吗？
188	那没有糖尿病就不能托运吗
3	登机牌换不了了呢现在？
99	身份证过期怎么办
173	地窝堡机场停车费怎样收取
45	可以增加同行人吗
3	pro版
3	办理托运
3	人工吗
26	主乘客不坐，同行人一人乘坐，那怎么选座位
5	为什么无法值机？
3	没有添加按钮
3	川航A330座位分布图
31	托运的行李箱 有体积要求吗
3	重新注册
125	儿童乘机
24	你好
59	MU7780有免费托运行李么
3	充电宝
11	你好，儿童和成人一起值机怎么操作
161	如何帮别人办理电子登机牌
2	为啥现在不能在航旅纵横订票了
23	取消值机
44	我没订今晚21点贵阳飞北京的机票，为什么总提示我有订单？
1	能改签吗
139	部分座位锁定，无法选择
134	收不到验证码
63	托运狗狗多少钱
229	登机前，要开箱检查吗
3	为什么会自动变更
3	儿童免票吗？
3	加了
3	官网已经是值机状态，为什么你们软件不显示呢
205	为什么我的旅程数没有导入凤凰知音的会员卡里
30	在别的地方买票能在这上面看到吗
3	工具箱在哪个位置
14	请问生鸡蛋可以带上飞机吗
173	请问机场停车楼入口在哪
38	先问一下怎么找不到订餐的窗口了？
1	退票
13	选座功能在哪里
3	人工
14	洗面奶多少克都可以带吗
3	u
3	人工
3	驾驶本可以吗
3	是啊！我在成都机场T1
49	国外的行程为什么不显示呢
13	怎样手机选座位
56	我通过携程买的机票这里都有显示，但是我通过旅游团的机票为什么这里没有显示
24	你好
3	绿豆能干嘛
3	飞行情况
15	你好！我原来的手机号已经注册过一次，我现在又换了一个新的手机号，我该怎么办理？
14	充电宝多少毫安可以带？
10	我买了机会升舱
16	身份证丢失怎么乘机
69	能查看别人的航班吗
3	锂电池
3	经济舱在哪
11	儿童办理值机 怎么选同行人
3	这个怎么办？
74	为什么无法认证
3	充电宝最大毫安
3	2011年的
14	你好，我想问一下罗马式20000毫安能带么
13	怎么没有选坐功能了？
56	行程提取
3	手机选座
159	如何添加其他人身份
3	EID
45	如何添加同行人
6	人工客服电话是多少
60	怎样才是预约座位成功了？
3	帮我查下今天的航班我有没有买航空意外险
3	英语
63	超重
8	怎么删除旧证件
13	在app里怎么选座啊？
60	没看到预约选座？
125	刚出生的婴儿能乘飞机吗
16	没带身份证是否可以办理登机
3	行程卡可以买吗？
5	航空公司客服已经联系过了，因为是在航旅纵横app上值机选座的航空公司那边无法解决只能联系你们的
15	修改手机号码
274	取消注销
49	国际航班的旅行为什么没有显示
16	没有身份证如何登机
3	办理乘机手续是指
126	无法添加行程
3	办理乘机手续包括安检吗
3	飞行模式
3	值机了但需要托运，可能赶不上截止时间怎么办
26	如何为家人值机
24	你好
257	怎么下载新版
217	没什么我是明天航班却显示是今天
166	名字改了怎么办
144	你好，怎么查看飞机时速和高度
56	我行程没显示？
115	取消值机还可以选座位么
17	我5月27日乘坐航班飞往绵阳，现在需要补打发票，如何操作
14	携带胰岛素
13	选位在哪？
258	我的常客卡号是多少？
28	没办法取消值机啊，好像是你们的系统出现故障了
13	能帮忙值机吗
14	可以带充电宝吗
19	谢谢
197	哈尔滨机场哪里可以寄存东西
103	怎么修改卡包东方航空会员密码
3	领取登机牌
7	提前多久能手机值机选座
3	通行机票怎么地址填不上?
69	如何查询别人的航班信息
24	在吗
8	如何删除自己的证件
3	怎么连接或者抢飞机上的will
23	取消值机必须本人
12	不乘坐航班，可以为别人选座嘛
3	支持香港航空不?
14	充电宝的数字模糊了可以带上飞机吗
3	以前都可以查的
80	可以托运什么东西
3	微信
12	自己不出行，可以给家人选座位吧！
3	人工
91	行程保护不能选座位了
193	电子登机牌怎么用
53	怎么查到在早的记录
60	帮老人买了机票，怎么提前选座
85	注销账号
85	怎么注销账号
71	书包能托运？
253	请问如何投诉机场办理登机牌工作人员
3	贵宾休息室二维码在哪里找
5	你好，我想问一下为什么我值机值不了？
11	为什么孩子不能和大人一起值机？
111	怎么取儿童机票
6	你们有人工客服电话吗？
23	付费值机怎么取消
37	国际航班能预约值机吗？
26	怎样帮同行人值机？
3	人工
158	还可以打印登机牌么
6	人工客服
3	国泰A350-900经济舱哪个位置最好
150	为什么我设置显示英文名与中文名不一致
3	机场有充电宝吗
91	航班处于保护状态
28	为什么儿童值机无法取消？
17	开不了发票啊
31	托运行李额
3	电子登机牌
14	消肿止痛药水可以带吗
6	人工服务
3	你们联系方式
2	我买的明天的机票
57	随身携带上飞机的行李重量
17	行程单邮寄
33	还是不行啊
13	下载手机app后，进入哪个区域是选飞机座位的
3	查询进港信息
128	选好座位可以更改吗？
8	我要删除过期护照
100	20寸行李箱可以不用托运
3	没有同行
5	所有信息都对，怎么就是不能手机值机
3	怎么联系出票代理
194	航班取消，已办理值机，如何取消？
63	托运多少钱
102	每个航班都有电子二维码登机牌吗
3	pro版本
3	没有显示
14	能带多大的充电宝
17	行程单怎么在这个软件上打印
3	马上飞了，但是升舱不成功
3	😄
179	open票是什么？
17	你好，如何取得报销发票？
3	接送机服务相关的问题
1	航空公司因为航班调整取消了一班航班怎么办
3	我还有一个认证不出
149	手机值机是什么意思
3	川航办不了
3	有无线曾么
122	关键是不知道电子客票号啊！单位统一订的票，你们后台就不能推送给我吗？
63	买行李额
128	如何变更座位
3	怎么其他人
33	你媽死了
3	18686606329.美卢
95	拥挤度
3	人工
221	预约接机会便宜一点吗
7	请问6/5的航班什么时候可以网上办理值机
161	我的一个同行人已在其他平台值机，如何在航旅纵横上获取他的电子登机牌？
24	你好
31	祥鹏航空有没有托运额
14	你好，我的充电宝20000mAh，可以上飞机吗？
65	预留座位不可改选
56	别人给定的机票怎么查下来没有
14	飞机上能不能带水果？
3	是不是改版了
202	行程积分兑换里程，有机票吗
37	国际航班能值机吗？
7	选座啥时候正式开放
3	很急
6	换人工服务
83	机场电话
37	澳门航空的机票可以在这个上面办理网上值机吗？
2	怎么买机票？
40	手机值机后还可打印纸质登机牌吗
3	以前添加的人员身份证信息怎么找不到了？
3	你好，为什么是我的身份证号码，别人的名字
11	婴儿值机
3	怎么分享
3	特价机票
47	廉价航空添加行程
71	你好，酒水托运
3	怎么找出来？
3	只有两年
10	你好！请问我可为他人申请四川航空的升舱服务吗？
24	你好
3	我想开通电子证照提示设备不支持NFC什么意思
3	微信怎样反馈
3	这款软件不能下订单吗？
3	下方没有取消的显示
96	帮别人值机怎么取消
3	有没有出行套装
3	工具箱在什么地方？
49	我今年从多伦多去古的行程怎么没有显示？是加拿大航空。
22	为啥直接显示非本人行程无法直接
3	升舱服务
45	添加同行人
148	未查到出行行程单
3	我已经下载航旅纵横了
7	飞机票开放选座时间
3	发现
175	老人行动不便，要租轮椅
3	如何补偿
3	防晒霜
3	身份证和本人不像
74	电子认证怎么不行
3	行程
3	遗留证件
24	你好
165	那为什么我朋友的同样航班是可以预约的
73	已经到值机时间了
19	啊
11	一个大人一个儿童怎么值机
89	自动值机之后怎么取票？
2	怎么预订机票
74	我以前认证过，但是忘了密码，现在重新认证不了
14	上机对充电宝有何要求
5	给家人一起办理值机，为什么办不了
51	最晚提前多久到机场
19	好吧
2	怎么订票
71	笔记本电脑取下电池可以托运吗
5	我的为什么不能值机
3	还显示已经出票
3	有用的不知道，没用的知道也没用。
3	拒绝添加
3	值机后还需要取票吗
6	人工客服
68	联程票的行李如何中转
195	帮我取消认证
160	手机办理了电子登机牌，是否可以在自助机上打印纸质登机牌
181	无成人陪同儿童
13	怎么给机票选座
6	有人工咨询电话吗
3	删除
35	你好为什的我未来的行程没有显示
58	安全出口
227	我办理了升舱，怎么取消，有人工电话吗
41	票价
57	如果无免费行李额
23	帮我取消值机
12	我能否帮他人选座
164	这个在哪里
236	如何知道是否联程机票
94	若延误，怎么得到延误险赔偿
13	工具箱手机选坐卡片在哪
1	取消行程
3	会提前通知吗
7	手机值机几号可以？
5	选座失败
71	笔记本电脑能托运吗？
24	有用吗
3	登机牌
3	药品
14	一个人带几部手机
23	取消选座
17	发票怎么打
3	工具箱在哪里
24	哈喽
79	请问 在这个APP值机后 到机场还能办理托运行李吗
3	请问您是智能，还是人工
7	你好，手机办理值机手续几点开始
13	我能不能现在就选座位号
70	乘机证明无法获取
58	请问空客320的机翼在哪里
71	可以托运防晒喷雾吗？
109	变更账户证件信息
91	我没有开保护
24	你好
3	身份证
235	国内哪些航班有婴儿睡篮怎么查询
14	口服液可以随身带上飞机吗
3	修过不了
8	怎么删除认证
29	预约选座显示有误
13	如何网上办理选座位
3	学生票
85	可以注销账户后，重新注册吗
14	可以带移动电源？
5	选座按钮没有
203	我已经定了机票了但是名字和身份证的不一样怎么办
14	液体限额
3	加盟司机
134	为何收不到验证码？
12	如何帮别人值机
3	取消的航班的电子值机牌，怎么显示
13	选座位在哪儿？
13	手机选座怎么操作？
3	客票
26	怎么帮和我同行人选座位？
69	怎样查看别人的飞行记录
57	国际航班行李限额
3	由于飞行模式不是根据所在国（或手机实际时间）进入，而是根据北京时间进入，导致实际乘机时，由于飞行时间已过，无法进入。现阶段还有什么方法可以强行开启飞行模式吗？
110	飞机群怎么进啊
46	常用联系人页入口在哪里
21	军人证件怎么添加
185	怎么办理航空公司VIP
11	我儿子没法选座咋办？
17	怎么办行程单
3	请回答我谢谢
73	乌鲁木齐到阿拉山的飞机有没有 具体的时间有没有
84	我一次只能办理两个同行人值机吗？
12	怎么通过该软件帮别人选位置
29	您好，预约选座为什么没有提示成功？
14	硬盘带上飞机
55	西部航班客服电话
3	机票丢失怎么办
3	已经是最新版本了
31	免费托运吗
13	现在怎么办理手机值机
13	哪里选座
3	新疆银行的钻卡，在T1能走贵宾通道吗
3	这样添加人
175	机票早已订好，但近期不慎脚受伤，我想申请地面轮椅，如何办理？
3	航班取消后自动退款？
106	取消接机订单
6	客服电话是多少
56	为什么我的行程历史里，有一部分没有显示出来
1	退票
127	我想问一下，如果我想带宠物狗去外地坐飞机，需要准备什么相关证件呢
3	验证照片上传失败
72	添加常用联系人
62	国际航班为什么看不到价格
30	出现不了历史航班信息
3	工具箱在那
5	无法替家人选座
3	审核一直没通过
3	为什么我认证了没有我的信息
24	你好
3	9.99E+12
156	我昨天在你们这儿订的接机服务，结果首汽约车司机没有来接我，害我动车晚点在杭州多住了一晚，但司机钱已经收了，联系首汽约车客服，说要找你们处理，这事该怎么办
11	我的孩子怎么一起手机值机？
8	删除证件
3	电话号码多少
56	提取行程
40	办理过电子值机，到机场停止值机，还可以打印登机牌吗？
13	怎么选座
3	充电宝
3	行李
3	无法选舱位
55	怎么联系航空公司或出票代理
30	请问一下，带的计算机可以上飞机吗？里面有电池，需不需要拆开看
3	护照号写错了
2	我如何在上面购票？
41	机票上的信息怎么看
102	如何获取电子等离散
24	你好
3	我已经选择座位了
3	订单下不了
3	常客卡
127	腊排骨可以带上飞机吗？
2	可以订机票吗
14	飞机上能带熟的咸鸭蛋吗
6	航旅电话
6	有电话客服吗
171	预约选座取消
13	如何办理值机？
3	以往都能随便选择座位，今天为何又要身份认证？
13	头等舱怎样值机
69	无法看到常用联系人航班信息
3	D19108002516087544，这个是航旅纵横的订单编号吗
14	粉底液能带上飞机吗
3	为什么有的做不能选？
41	可以帮我查询一下机票吗
3	飞机卫生间怎么使用
143	用户名及密码忘记，无法认证
3	辣椒面呢
50	幼儿有身份证还需要出生证明登机吗？
14	飞机上可以携带避孕套吗？
24	你好
3	已添加了
71	请问，白酒可以不托运了
91	航班保护中什么意思
205	里程补登
158	电子登机牌可以在机场打印出纸质登机牌么
209	去菲律宾买了往返机票，还需要什么
3	查询
7	QW6071航班什么时候开放值机？
81	航线图没显示最近一个行程
0	同行人信息在哪里修改？
14	充电宝随身带还是随行李呢
116	武汉机场支持电子登机牌么
249	提前多久能打印登机牌
3	电子登机牌
112	为什么我帮别人值机提示请不要重复预约
3	司机可以在app接单吗？
51	可以提前几天值机？
26	怎样才能为多个同行人员值机
24	你好
5	为什么我的app不能值机.别人的app却可以操作
182	添加到钱包
128	如何调整已选座位
3	优惠卷
85	怎么注销？
64	第一次坐飞机
5	为什么选座选了两个人只看到了一个人的
3	有微信群嘛
3	通过同伴添加我一人也一样显示
3	历史准点率
59	vj605免费托运行李
49	我订的国泰航空的机票怎么没有出现在行程中？
150	护照中英文名字无法匹配
96	怎么取消帮他人的值机
42	无身份证怎么乘机
3	哈尔滨机场国航值机柜台在哪
6	请告诉我你们的客服电话
3	积分卡如何升级
208	亲，在哪里可以帮别人预约值机
6	客服电话
3	最早的行程
2	能否在航旅纵横购机票？
145	加你们QQ为什么，还没有通过
23	已值机如何取消选座
5	不能选座位呢
14	电子烟可以带上飞机吗？不使用烟油的
49	为什么境外飞行看不到
6	客服电话
45	如何添加第二个乘客
43	Cz8122为什么不能办值机
3	删除问题
120	已经开启消息通知 可是没有短信提醒
6	人工客服
24	在吗
92	为什么输入身份证号码总是说格式不对
37	东航支持电子值机吗
13	请问付费选座订单在哪里
109	如何更改已认证的信息
54	怎样设置值机提醒
3	北京首都机场的国航值机柜台
56	查不到我的行程
7	选座位什么时候开放
68	中途要转机的是否需要提取行李
3	东航万里行密码
28	为什么无法取消值机
205	2019年已飞公里数
6	客服电话多少
3	国际航班值机
3	CA1486的准点率
5	为什么我不可以值机
24	亲亲
73	为什么运城到深圳的飞机现在也不飞
32	怎么查询其他人位置
28	值机取消不了
31	托运收费吗
8	删除已认证的证件
265	点不开查看登机牌
17	你好！我需要提供机票报销
3	羽田飞上海的
55	航空公司电话多少
19	哦
83	双流机场电话
101	西藏航空不能手机值机吗
13	怎么值机呀
67	有氧舱价格
3	接机
91	手机提示开启个人保护，怎么回事
102	如何办理电子登机牌
3	不是机票
41	全价机票怎么看
32	请问座位信息页在哪里
56	现在是需要完成乘机后才会显示航线吗
5	我想知道我的四张票，三张都可以选座，只有一张不能选座是为什么？
3	座位页
102	电子登机牌在哪
49	怎么没有显示我从莫斯科到圣彼得堡的行程
196	航站楼在哪看
2	无法购买1630元的机票
14	请问在国内旅行乘机一次可以带多少香烟
24	您好
1	我要改签
56	我明天回国的机票怎么看不到
3	工具箱在哪
17	行程单
14	雨伞如果放在行李箱里需要拿出来安检吗？
65	为什么预留的座位被别人抢了
1	可以退机票吗
3	国际航班托运
3	人工？
3	行李
24	在吗？
71	托运能带多少液体
2	忘了怎么订机票了，已查询好航班，无法点开预订，怎么回事？
12	非乘机人员给别人选座
3	为什么我的会员卡一点积分也没有？
3	8到10排
47	春秋航空添加不上
11	东航 想给孩子选座 怎么添加同行人啊
2	没有购票凭证，是电子购票单
11	可以为首都航空12岁小孩选座吗？
23	怎样取消值机
148	电子行程单
71	你好 请问ipad可以托运吗
74	微信认证不了
128	你好，我想问下儿童改座位要怎么修改
33	我只希望这个软件能完善些，我自己手动添加我还用这软件有什么用？，你们应该能给添加才好
3	人工
10	军人持证件可以升舱吗？
45	香港航班无法增加同行人
23	取消值机
3	有亚洲航空吗
3	通知邮箱
3	？！？！
55	怎么联系自己乘坐的航空公司
14	20000毫安的充电宝可以登机吗
3	行李托运
113	行李事故索赔
75	已经买过票了怎么申请儿童餐
30	请问，可以帮我查一下我🈶机票记录吗
1	怎么改签
24	您好
22	为什么我的值机显示不是本人行程？
84	为什么两个月前选的座位被占用了
3	请问行程怎么兑换礼品
