label	content
行李携带须知	哪些不能带上飞机
临时乘机证明办理	珠海金湾机场怎么办理临时身份证
行李携带限额	20寸行李箱可以不用托运
账户信息-如何修改手机号	原来朋友用我的手机注册的账号，我想重新更改一下信息
带物品登机	充电宝可以带多少毫安的
如何查看行程	我想查一下2018年12月8日我乘坐的航班
行程-索要发票、行程单等	发票如何取得
带物品登机	充电宝可以带多少毫安的？
无法认证	电子认证怎么不行
带物品登机	不锈钢筷子和勺子可以随身带到飞机上吗？
账户信息-获取不到验证码	手机值机为何收不到验证码
带物品登机	请问飞机✈️可以带香烟🚬吗可以带几条
老人乘机	超过70岁的老人在网上买飞机票，要提供什么材料吗？
常用联系人的页面在哪里	常用联系人在哪里添加
账户信息-如何修改手机号	修改手机号码
其他	这款软件不能下订单吗？
其他	爽肤水
如何为他人值机	怎么进行为他人选座？
值机-同行人添加数量限制	现在这个选座最多能选几个
行程-索要发票、行程单等	电子登机牌乘机后没有打印行程单
其他	我想问一下行李托运
认证-催促审核进度	已经申请注销要多久
携带物品要求	床上四件套能不能带上飞机
证件-删除已添加证件	能否帮忙删除我的一个认证
值机-部分国际航班或廉价或入疆入藏的航空不支持	为什么春秋航空不能值机
手机值机---为自己值机索引	选座位页面在哪里
值机记录-变更或取消他人的座位	如何取消添加的同行人？
值机-值机选座失败	提示该航班在不支持手机选座
其他	我之前误机了
他人值机-部分航司儿童不支持办理	儿童六岁，怎样值机？
航司是否支持手机值机	中国航空CA1239可以手机选座不
其他	为什么我认证了没有我的信息
其他	跟团也可以自行选座嘛？
其他	飞行轨迹
其他	自助值机
QQ群进不去	加不了QQ
其他	9871491474
值机详情-座位被预留	我没有办理值机，app自动帮我办理值机了
行李托运物品要求	书包能托运？
【提取】行程缺失-如何手添	我的机票找不到了   可以用身份证查询几点的飞机吗
无法取消值机	选座取消失败对不起
行李超重	托运狗狗多少钱
如何为他人值机	可以帮别人选座吗
【提取】行程缺失-如何手添	没有去南昌的机票显示
如何查看电子行程单	查询电子行程单
证件-删除已添加证件	我刚才操作失误，证件需要重新认证，麻烦帮我取消现在的证件，那个是我爱人的名字
其他	国际航班呢
退票、改签	怎么退票？
如何看海拔高度	飞行高度在哪里看的？
其他	为什么认证要微信支付密码
行程-索要发票、行程单等	您好 电子发票怎么还不开啊
行程-索要发票、行程单等	需要开发票
手机值机---为自己值机索引	如何办理选座
乘机证件相关_成年人	身份证丢失驾驶证是否可以登记
带物品登机	防晒喷雾可以带嘛
手机值机---为自己值机索引	请问我怎么选座位
其他	为什么要更过我预约过的座位
其他	卡包里的账号密码在哪里找回
姓名-认证非本人	身份认证提示已被其他人注册
行李超重	托运多少钱
认证-如何认证	添加新证件显示证件类型
其他	优选座位订单
退票、改签	请问怎么改签
带物品登机	最小的瑞士军刀能带上飞机
带物品登机	防晒喷雾能过安检吗
通用---咨询客服电话	你好，可以打人工客服吗？
其他	请问是什么原因
【提取】行程缺失-如何手添	为什么我在其他国家的飞行记录没有显示
其他	飞行旅程
订餐	怎么看自己机票是否含餐？
其他	带哪些证明
其他	在吗人工
结束语	额
如何获取别人的电子登机牌	如何帮别人办理电子登机牌
航司投诉	行李破损，提起赔偿不超过多少天
如何预约选座	值机预约
其他	客票号9992102226084
其他	已经开放值机了啊？
值机-值机选座失败	为什么选座选了两个人只看到了一个人的
【提取】行程缺失-如何手添	我通过携程订的航班无法显示?
行李托运物品要求	狗狗可以托运吗
行李限额	带上飞机的行李箱尺寸
其他	通行机票怎么地址填不上?
闲聊	你是谁
带物品登机	硬盘带上飞机
值机-值机选座失败	为何我不能值机？
认证-注销账号	注销需要多长时间
其他	同行人已改签
航线图未显示行程	已出行的国际行程如何添加到我的航线图中呢？
行程-索要发票、行程单等	报销单据
未显示国际行程	为何国际行程没有显示？
手机值机---为自己值机索引	怎么选座位呢
带物品登机	化妆品可以带吗
其他	但是我是哥哥自己值机啊
无法认证	护照验证失败
残疾人、病人乘机	残疾人
行李托运物品要求	1.2米的行李可以托运吗？
其他	有一张不是我定的机票
行程-索要发票、行程单等	打印发票
【提取】行程缺失-如何手添	国泰航空无法提取行程
通用---咨询客服电话	回答不正确。你们有客服电话吗？
【提取】行程缺失-如何手添	美联航如何添加行程
机票名字错误	机票身份证号码对的名字不对能登机吗
机票---预订机票	购票
其他	我添加完了，还是不行
带物品登机	100ml不透明的防晒霜可以直接带上飞机吗
【其他】怎么获得乘机证明	设置自动发送乘机证明
取消值机-如何取消值机	请问怎么取消值机
带物品登机	飞机液体可以带嘛
他人值机-部分航司儿童不支持办理	请问小孩怎么认证身份?我想选机票座位
其他	为什么我的行程有三张票
取消值机-如何取消值机	我要从新选座
登机流程	上机流程
手机值机---为自己值机索引	已经买票的国际航班怎么添加并选座
其他	什么时候能知道预约的座位有没有选中
通用---咨询客服电话	你们有没有电话可以联系？
带物品登机	50毫升的铁皮补水喷雾可以带上飞机吗
抱怨	我要投诉你们
带物品登机	我拿两瓶酒在箱子里没有问题
登机、过检时间	土耳其航空几点开始值机
其他	可以把正常机票改为open吗
其他	行程照片不能上传
其他	CA1342
行程-索要发票、行程单等	开发票
其他	没看懂
带物品登机	带的水杯能装水吗？
机票---票价、余票提醒	能帮我查到机票吗
其他	在韩国
携带物品要求	乘飞机可以带小孩推车吗？
值机记录-查看自己、他人、同行人的座位	请问座位信息页在哪里
值机-值机选座失败	为什么买的同一班飞机票，自己能在线值机其余的人就不行
行李携带须知	荷兰航空 托运要求
临时乘机证明办理	忘记带身份证可以乘坐飞机吗
取消值机-如何为自己变更座位	改坐位是点取消直机吗？
里程兑换机票	您好，累计的行程可以兑换里程或者机票吗
座位标志说明	为什么有的座位是锁定的
通用---咨询客服电话	服务电话
带物品登机	能带50ml 止汗走珠液上飞机吗？
如何预约选座	请问，这个是不是已经预选位置了，还需要确认一下吗
姓名-认证非本人	我都没有注册过、为什么显示我的信息已经被注册了
其他	哈尔滨国航值机柜台在哪
贵宾厅	公务舱i舱可以进贵宾休息室吗
其他	国航知音卡密码
手机值机---为自己值机索引	值机怎样操作
婴儿餐	我可以预定一份儿童餐么
如何查看行程	查询乘坐的航班
值机-如何为同行人办理值机	如何或许随行人员值机信息
非本人行程无法值机	为什么提示我非本人行程
提交技术尽快排除、关于系统bug问题	我在这界面上传照片的时候却上传失败，且说网络繁忙，但我手机却又连了网的，请问是怎么回事？
老人乘机	老人可以乘坐飞机吗
提交技术尽快排除、关于系统bug问题	手机App无法正常打开
停车服务	地窝堡机场停车费怎样收取
航司投诉	行李箱损坏怎么办
其他	飞机上可以使用蓝牙耳机吗
其他	上面显示无法修改
值机记录-变更或取消他人的座位	我替朋友选好的值机如何取消？
带物品登机	纽扣电池可以带吗
电子登机牌与纸质登机牌	有了电子登机牌 还能要求打印纸质登机牌吗
其他	常用联系人填写错误
延误、取消	TT663今天航班取消了吗？
【提取】行程缺失-如何手添	我在支付宝定机票怎么没显示
带物品登机	20000ma的充电宝可以带上飞机吗
手机值机---为自己值机索引	你好！怎么选座位？
如何查看行程	我想查我的机票动态
通用---咨询客服电话	人工服务电话
值机记录-查看自己、他人、同行人的座位	座位信息从哪里找来的
未显示国际行程	国外的航空公司能自动显示行程吗
其他	航班动态里
其他	只有两年
轮椅、病人所需设备	脑梗可以坐飞机吗？
值机-值机选座失败	不能选座
中转是否要重新安检	东方航空长沙飞上海，再从上海转机到日本，需要出机场安检再从新进国际航班吗
【提取】行程缺失-如何手添	为什么定了机票查不到行程
值机-值机选座失败	暂时不能选座
【隐私规则】查询他人行程	如何查询别人的机票有没有出票
行李超重	请问只有免费托运行李额没有免费手提行李额
带物品登机	携带上飞机的液体总量是多少
带物品登机	国内航班，虾能不能带上飞机
手机值机---为自己值机索引	我要选座
延误、取消	飞机延误到晚上了，现在让通知正常值机？
手机值机---为自己值机索引	从哪选座位
【提取】认证后未提取出行程	我已经支付宝快速认证，为什么看不到行程？
手机值机---为自己值机索引	你好，我想问下我的航班显示是15号两点开放选座？为什么现在就可以选座位？
QQ群进不去	以添加QQ群，多久能通过
其他	首都机场有几家餐厅
行程-索要发票、行程单等	不是值机牌哦，是打印行程单或发票，哪里打印
值机-同行人添加数量限制	只能选座三位吗？
其他	请问确定座位看到的自己是橘色的座位合适吗？
行李限额	一人能带几瓶、1斤瓶装的？
打招呼	*吗
【隐私规则】查询他人行程	我想问一下，通过姓名和身份证号能查询航班信息吗？
认证-如何认证	能不能用别人的手机号码进行认证
安检流程	没有行李托运可以直接取票安检吗？
如何查看行程	无法查询订票信息
接送机---如何申请接送机发票	我6.12的接机服务想开发票，行程怎么找不到了？
如何查询往返机票	怎么购买往返机票
值机-值机选座失败	为什么不能选座位
手机值机---为自己值机索引	能帮忙值机吗
值机记录-变更或取消他人的座位	你好，我想取消两个人的值机，为什么只能取消我自己的
登机、过检时间	飞机出发前多少时间停止检票
里程累计	为什么我的旅程数没有导入凤凰知音的会员卡里
其他	删除
其他	台湾
其他	应用市场在哪里?
其他	办理乘机手续包括安检吗
抱怨	你们怎么回事
登机流程	登记手续办理
手机值机---为自己值机索引	是不是还没开始选座
如何获取电子客票号	查电子客票信息
手机值机---为自己值机索引	如何选坐位？
其他	u码
其他	客户端
值机-值机选座失败	我为啥选不到坐了喃
行程-索要发票、行程单等	打印发票需要什么材料
值机详情-座位被预留	预留座位不可改选
值机-值机选座失败	为什么值机值不了
航司是否支持手机值机	澳门航空的机票可以在这个上面办理网上值机吗？
带物品登机	修眉毛的小剪刀可以带上飞机吗
常客卡添加失败---其他	为什么无法添加海航的会员卡
乘机证件相关_未成年人	儿童乘坐飞机需要身份证吗？
取消值机-如何为自己变更座位	你好，我想问下儿童改座位要怎么修改
如何预约选座	值机预约成功会怎么显示
手机值机---为自己值机索引	选坐位在哪里搞呀
行李超重	为什么我乘坐的飞机，别人有免费7公斤的行李托运，我没有免费行李额呢
其他	选位置
行李限额	两件行李没超过行李额，要收钱吗
无法取消值机	我是在航旅纵横值机的，为何在取消值机时说我是在其他渠道值机的？
其他	想請問0705 飛北京的FM9103是取消了？
【提取】行程缺失-如何手添	为什么我的行程没有显示
修改中文名	名字换了，请问怎么更新
其他	乘国际航班证件什么
其他	Wallet
值机记录-查看自己、他人、同行人的座位	座位信息在哪里
值机-同行人添加数量限制	在线选座同行只能选三个人的?
其他	直接告诉我
未显示国际行程	国际航班是要取票后才能显示吗
查询航班行李限额	东方航空托运行李限额
其他	凭证
其他	我五号航班取消了，请把登机牌发给我
登机流程	第一次坐飞机不懂怎么办
值机-值机选座失败	为什么我办理值机确不让我选座位啊
修改英文名	商旅纵横注册护照上的英文名输入错误 怎样能更改
值机详情-未开放选座、什么时间开放选座	软件一般在起飞前多久可以选座
什么是团队票	团队机票能值机吗
其他	哈尔滨机场安检
机场电话	郑州机场地服电话
其他	哈尔滨机场
其他	没有QQ
认证-如何认证	护照哪里添加
行李托运物品要求	托运可以带多少液体
其他	验证通过，老是说密码不正确，又没地方输密码
非本人行程无法值机	非本人行程不可值机
通用---咨询客服电话	你们客服电话号码是多少？
值机-值机选座失败	为何无法值机
值机-同行人添加数量限制	同时办理了五个手机值机，其中两个办不了，为什么？
退票、改签	退票手续费
行程-索要发票、行程单等	需要纸质行程单报销
带物品登机	携带吉他登机
值机详情-座位被预留	预留座位
预约值机-支持哪些行程	那为什么我朋友的同样航班是可以预约的
预约与值机的区别	你好，同行人添加上可以不用选座了吗
【提取】出现了非本人购票的航班	值机提示非本人行程
带物品登机	飞机液体容量
如何查看电子行程单	如何打印电子行程单
未显示国际行程	为什么我国际航班没有显示
手机值机---为自己值机索引	别忘了下午办理手机值机
失物招领	如何领取失物？
他人值机-部分航司儿童不支持办理	带婴儿坐飞机选座
机场有吸烟区吗	美兰机场有吸烟室吗
其他	通知邮箱
什么是登机牌	值机成功生成的二维码是干什么用的
他人值机-部分航司儿童不支持办理	儿童手机选座
其他	My
机票---预订机票	通知的行程就代表机票购买成功了么？
未显示国际行程	国外航空公司的行程可以查到吗
其他	超过160ml的护肤品怎么办
无法取消值机	您好，航班因为天气原因被取消了以后，值机无法取消
航班动态-咨询是否可晚到机场	我的航班晚点了 那我是不是可以晚一些去机场
其他	我是已经登录了的
其他	eid无法开通
婴儿乘机	婴儿出生多少天可以坐飞机
其他	计算机离港系统控制
值机详情-座位被预留	是你们平台已经帮我值机了或帮我预留了座位，我现在想取消。
他人值机-部分航司儿童不支持办理	婴儿票 值机
其他	无法选舱位
无法添加同行人	不能添加同行人
抱怨	等于没说
值机-值机选座失败	为什么我不能给与我同行的人手机值机？
关于南航选座	CZ3712为什么不能手机值机呢
机票---预订机票	我想定机票
值机详情-未开放选座、什么时间开放选座	FM9457什么时候正式开放选座
其他	严重影响了我的行程
预约与值机的区别	我巳预约座位成功，还需办理值机吗
其他	药物
升舱如何退款	我上次去黄山买的头等舱你们给我降仓位了？你们说退钱为什么到现在都还没有收到款呢？
非本人行程无法值机	添加行程后，显示非本人行程，无法值机
其他	我在去哪儿网改签到6月8号 为什么这个上面显示我是6月6早上九点起飞呢
其他	增加了嘛
登录-忘记密码	密码忘了怎么修改
其他	飞机上
他人值机-部分航司儿童不支持办理	你好。川航儿童可以手机值机吗？
其他	更改邮箱
其他	换手机
值机详情-未开放选座、什么时间开放选座	我想办理值机，为什么还没开放
值机-如何为同行人办理值机	如何为同行人选座？
其他	不是首都机场
值机-值机选座失败	为什么不支持值机？
登录-忘记密码	忘记帐号了
无法添加同行人	我要为别人值机 为什么没有+？
行李托运物品要求	乌龟如何办理托运
临时乘机证明办理	天河机场+临时身份证
无法取消值机	值机无法取消，错误51841
通用---咨询客服电话	如果找人工服务啊
如何查看行程	怎么看自己的航班历史记录 具体是哪天乘坐的飞机？
取消值机-如何取消值机	取消座位的问题
登机、过检时间	可以提前托运行李吗
带物品登机	一个人带几部手机
【隐私规则】行程提取时间	为什么没有2011年以前的行程呢？
接送机---如何申请接送机发票	我是在APP进行打车的、为何不能出发票
接送机---如何申请接送机发票	接送机开不了发票怎么办
机场--如何查看机场雷达、交通、大屏、地图	机场雷达
行程-索要发票、行程单等	你好，想打印行程单是怎么办理？
其他	24小时选座未开
无法取消值机	为什么不能取消值机
值机记录-查看自己、他人、同行人的座位	如何查看值机结果
取消值机-如何取消值机	麻烦帮我取消值机
【隐私规则】查询他人行程	怎么查询朋友的航班
其他	拨打电话无应答
带物品登机	打火机可以带吗
延误险	购买飞机延误险
航班取消-本人无法取消	航班取消 无法取消值机怎么办？
退票、改签	机票自动改期消息
账户信息-如何修改手机号	你好！我原来的手机号已经注册过一次，我现在又换了一个新的手机号，我该怎么办理？
如何补打登机牌	登机牌补打
如何查看行程	在其他网站买的机票这里可以查到么
航司电话	西部航班客服电话
接送机服务取消流程	航班取消，扣除了接送机服务的取消费，怎么处理
行李限额	国内航空行李限额
登机、过检时间	停止办理值机时间
无法认证	新证件无法认证
托运流程	怎么办理托运
航班动态咨询---其他	大暴雨能起飞吗
值机-值机选座失败	不输卡号就不能选座吗？
行程-索要发票、行程单等	我需要机票的报销发票
值机详情-未开放选座、什么时间开放选座	8日飞机，是否现在可以选座位
其他	登陆不了
行程-索要发票、行程单等	网上可以直接打印抬头发票么
其他	麻烦取消
其他	护照
其他	还有
未显示国际行程	你好，国际航班这里显示不了吗
飞机有wifi吗	飞机有Wi-Fi嘛
手机值机---为自己值机索引	怎样手机选座位
其他	川航办不了
其他	我两个人为什么添加不了对方？
其他	我来的㽘班正常值机了
其他	这是什么原因
改签后未更新	我改签的行程，这里为什么显示已使用？
【提取】行程缺失-如何手添	我的行程为什么显示不出来
手机值机---为自己值机索引	怎么在手机上选择位置呀
值机-值机选座失败	为什么做不了值机
带物品登机	橄榄菜可以带吗
【提取】行程缺失-如何手添	为什么查不到cA4102航班信息
行李限额	行李体积重量说明
【隐私规则】查询他人行程	查看别人的飞行记录
如何查询机票订单	如何查询预定的机票信息
座位标志说明	手机值机  座位上有锁。
带物品登机	请问，去旅行上飞机能带风油精和防晒喷雾等液体类的东西吗
手机值机---为自己值机索引	怎么选座号
其他	我的上面已经没有了座位信息
取消值机-如何取消值机	付费值机怎么取消
如何为他人值机	怎么查看帮别人的选座
其他	可以更改承运人么
如何查询机票订单	如何查询订购的飞机票
行李限额	能带上飞机的行李重量
【隐私规则】查询他人行程	用身份证查已订机票
其他	座位数字从小到大的飞机从前到后对吧
认证-注销账号	如何注销账号
如何成为vip选座	如何成为VIP
机场电话	天津机场客服电话
其他	身份证件
值机详情-未开放选座、什么时间开放选座	你好，什么时间开始选座？
其他	怎么回事
无法取消值机	我值机了要改票，取消值机为何总不行啊，急死了，请帮忙
无值机信息	我的行程开放值机后为什么没有短信通知
其他	退钱
值机-值机选座失败	无法为其他人值机
询问机翼、靠窗位置	选安全出口前面的座位
通用---咨询客服电话	有人工咨询电话吗
其他	电话☎️
带物品登机	消肿止痛药水可以带吗
其他	选不上
行李托运限额	一个箱子，一个包总重不超过20公斤，两个都可以托运吗？
其他	小朋友如何查询
行程-索要发票、行程单等	怎么获取行程单
如何修改同行人信息	如何让删除通行人信息
其他	😁
其他	如何加入孩子的信息
值机记录-查看自己、他人、同行人的座位	我选了座位为什么东航那边查不到
值机详情-未开放选座、什么时间开放选座	请问手机值机时间是在航班起飞前什么时间断
结束语	好滴
他人值机-部分航司儿童不支持办理	我用自己的手机替孩子购买了机票（北京至巴厘岛）怎么没办法值机啊？
询问机翼、靠窗位置	安全出口怎么看
行李托运物品要求	瓶装酒可以托运吗
行李托运限额	20寸行李箱20kg以下可以不托运吗
【手添】如何手添误删行程	不小心删了行程怎么办
行程-索要发票、行程单等	只有行程单
行李托运物品要求	矿泉水可以托运吗
行程-索要发票、行程单等	如何打电子发票
其他	通过一下，太费劲了
其他	8到10排
其他	剪子
如何预约选座	为什么现在预约选座进不去？
【手添】催促审核进度	我的认证怎么不审核
值机详情-座位被预留	我被莫名选了座位是怎么回事？
其他	怎么没有显示
打招呼	哈喽
其他	88
带物品登机	香水可以随身带吗
退票、改签	我想要改机票
手机值机---为自己值机索引	怎样选座位？
其他	我在哪里可以查到我认证的证件
其他	东航
其他	闻芸
其他	客人中心在哪
如何为他人值机	我能用航旅纵横给别人选座吗
行程-索要发票、行程单等	电子发票在哪里？
认证-如何认证	這個app可否添加香港特區護照
取消值机-如何取消值机	我要取消明天的选座可以吗？
非本人行程无法值机	手机值机，我核对信息后确认，出现非本人行程，不可值机，这是为什么？
行程-索要发票、行程单等	我的航旅显示行程单以打印，
其他	微信客服
残疾人、病人乘机	血栓患者能坐飞机吗
行程-索要发票、行程单等	行李托运电子发票
航站楼查询	∴长春深航在哪个航站楼值机？
他人值机-部分航司儿童不支持办理	我儿子没法选座咋办？
他人值机-部分航司儿童不支持办理	带两岁半小孩可以手机选座不
带物品登机	非液体药物可以携带吗？
证件&姓名-添加他人证件	两人的证件 如何认证
其他	什么地方签到？
值机-值机选座失败	已升级最新版本还是不能正常值机
通用---咨询客服电话	人工服务电话
飞机有wifi吗	机上wifi怎么申请
【提取】行程缺失-如何手添	行程里为什么只有2017年2018年的，没有2019年的
手机值机---为自己值机索引	怎样选座
乘机证件相关_成年人	驾驶证可以用来登记吗
登机、过检时间	飞机起飞前多长时间停止登机？
其他	大贝壳不托运
预约选座-提示不能重复预约	添加同行人，显示我重复预约是怎么回事？
其他	飞机上吃东西
其他	票号
其他	如果分享给好友
其他	我的历史记忆录
【提取】行程缺失-如何手添	我有几次行程为什么看不到呢
登机、过检时间	直接托运还是需要提前预约？
值机-值机选座失败	当前课票暂不支持手机值机
如何为他人值机	可以帮别人值机吗？
其他	app能否预定
证件-删除已添加证件	删除证件
带物品登机	可以带洗头膏嘛
取消值机-如何取消值机	请取消杨利强值机
手机值机---为自己值机索引	怎么选取座位
其他	客票预定是什么意思
行李托运限额	行李托运有质量限制
无法取消值机	取消选座取消不了
出入境办理-海关	1w毫安的充电宝需要走申报通道吗
其他	显示这，不让办理
登机牌---如何打印登机牌？	电子登机牌可以在机场打印出纸质登机牌么
如何获取电子客票号	出票成功无客票号
什么是值机	什么是在线值机
如何取消升舱	升舱订单可以取消吗
行程提取未成功	为什么我提取不出行程
如何获取电子登机牌	怎么查看电子机票
带物品登机	酵素固体状能带上飞机吗
其他	！！！！！
退票、改签	能不能改签今天
账户信息-获取不到验证码	输入44+手机号 收不到验证码
中转时间	中转航班需要预留多久时间
其他	国旅纵横密码知道，当时办知音卡是在十几年前，办卡时手机号与现在不是1个号。知音卡密码忘了！查找回知音卡密码，提示让用其他方式！
其他	新郑机场
其他	有没有出行套装
其他	你们已经侵犯了我的隐私
手机值机---为自己值机索引	首页手机选座在哪里
抱怨	扯淡，耽误旅客时间
其他	更改航班，app会自动显示最新号码吗
其他	肯定有问题，我自己及其亲友都没有帮我订今晚21点贵阳飞北京的航班。
打招呼	客服您好
如何补打登机牌	机票掉了还能补办吗
具体开放哪些座位	怎么选第一排座位
【提取】行程缺失-如何手添	机票改签之后没有显示，还是旧的信息。
带物品登机	随身携带液体
【提取】行程缺失-如何手添	为什么我的行程里面没有显示6月26日的行程
如何查看行程	怎么查预定的机票
他人值机-部分航司儿童不支持办理	同行小孩怎么选座
退票、改签	我想改签机票
打招呼	你好～
他人值机-部分航司儿童不支持办理	两岁半儿童值机
其他	东方航空机票
残疾人、病人乘机	病人
带物品登机	2万毫安的充电宝能带上飞机吗？
他人值机-部分航司儿童不支持办理	小孩有户口本，跟大人一起买的机票，怎么选座位和取机票
如何查看行程	飞机航班号怎么查
取消值机-如何取消值机	我能取消选座吗
其他	出票第三方
其他	为什么不会显示价格
其他	怎么看历史记录
其他	为什么会这样
其他	已经开放选座了
手机值机---为自己值机索引	请问在其他平台上买的机票，可以在航旅纵横上值机吗？
其他	怎么积分
如何获取别人的电子登机牌	查看同行人电子登机牌
账户信息-如何修改手机号	航旅纵横账号绑定的手机号不用了
机票---预订机票	我已经购买了机票，怎样在系统中选座呀
其他	票号哪里查询
值机-如何为同行人办理值机	带着70多岁的老人，订票时忘记选座了怎么办
行程没有短信提醒	值机后会有短信提示吗？
【提取】行程缺失-如何手添	可以添加多个人查看行程吗
其他	什么航空公司有
值机详情-如何删除常用联系人	怎么删除已有常用联系人
如何添加常用联系人	添加常用旅客
退票、改签	请问在别人手机上预定的机票在我的手机上可以改签吗？
如何查看行程	之前的机票号如何查找机票已使用证明？
值机-值机选座失败	你好，我想问一下为什么我值机值不了？
如何获取电子客票号	为什么我的英文版机票出行单上面没有电子客票号
其他	客票
【隐私规则】查询他人行程	用身份证能查到航班嘛
手机值机---为自己值机索引	哪里选座
其他	以前电话号码注销了
登机流程	我怕我赶不上飞机了怎么办
值机-值机选座失败	问什么海南航空的无法值机？
机票---预订机票	如何订票？
携带物品要求	腊排骨可以带上飞机吗？
其他	可以带上飞机吗
行李超重	从西安到圣彼得堡托运估计要多少钱
航司电话	厦门航空客服
修改中文名	认证的姓名错误
其他	怎么使用积分
如何查看行程	在哪里可以查询自己的机票
无法取消值机	我的值机怎么取消不了
手机值机---为自己值机索引	用同一手机号订的机票怎么选座
行李限额	行李两张机票重量可以叠加吗
如何添加同行人	添加乘客
未显示国际行程	为什么国际飞行不显示
值机详情-未开放选座、什么时间开放选座	什么时间可以选座
其他	登机牌入口
手机值机---为自己值机索引	选座位怎么选
航线图未显示行程	请问航线图为什么显示不全
其他	充电宝 使用
【提取】行程缺失-如何手添	你好，我的行程为什么没有啊
其他	123
机票---预订机票	小孩要买票
机票---预订机票	航旅纵横只能查询不能购买机票吗？
其他	微信号
pro版下载	PRO版在哪里下载
手机值机---为自己值机索引	你好，我问下怎么选座位
如何为他人值机	可以帮其他人在我的手机上值机吗
手机值机---为自己值机索引	工具箱的手机选座卡片在哪里
如何添加常用联系人	常用联系人添加
无法取消值机	值机无法取消
【提取】行程缺失-如何手添	如何添加行程
退票、改签	现在我想机票改期了哦
行李托运限额	行李多重托运
提交技术尽快排除、关于系统bug问题	怎么查询CA817航班动态就闪退
其他	避孕套
手机值机---为自己值机索引	怎么在线选位
其他	我的积分
其他	为什么我的航旅登机没有出来
其他	明天的
航班动态-航班动态状态不准	我明天的飞机怎么现在显示登机
值机-值机选座失败	我的手机为什么选不了座位
登机流程	登机流程
其他	噢噢！！看到低价票，😭😭
提交技术尽快排除、关于系统bug问题	为什么我查航班动态 就闪退
其他	客票号
